year,commute,marital,educ,childs,famdif16,homosex,natenvir
1972,,never married,16.0,0.0,,,
1972,,married,10.0,5.0,,,
1972,,married,12.0,4.0,,,
1972,,married,17.0,0.0,,,
1972,,married,12.0,2.0,,,
1972,,never married,14.0,0.0,,,
1972,,divorced,13.0,2.0,,,
1972,,never married,16.0,0.0,,,
1972,,never married,12.0,2.0,,,
1972,,married,12.0,4.0,,,
1972,,married,13.0,1.0,,,
1972,,married,6.0,5.0,,,
1972,,married,9.0,1.0,,,
1972,,divorced,8.0,2.0,,,
1972,,married,9.0,5.0,,,
1972,,married,14.0,2.0,,,
1972,,married,14.0,2.0,,,
1972,,married,8.0,3.0,,,
1972,,married,17.0,3.0,,,
1972,,never married,14.0,0.0,,,
1972,,married,12.0,2.0,,,
1972,,married,11.0,2.0,,,
1972,,married,13.0,0.0,,,
1972,,married,12.0,1.0,,,
1972,,married,16.0,0.0,,,
1972,,married,12.0,2.0,,,
1972,,married,12.0,2.0,,,
1972,,married,12.0,2.0,,,
1972,,married,12.0,0.0,,,
1972,,married,9.0,2.0,,,
1972,,married,6.0,2.0,,,
1972,,married,14.0,1.0,,,
1972,,never married,16.0,0.0,,,
1972,,married,8.0,5.0,,,
1972,,married,12.0,1.0,,,
1972,,married,14.0,2.0,,,
1972,,married,13.0,2.0,,,
1972,,married,10.0,1.0,,,
1972,,never married,6.0,0.0,,,
1972,,married,12.0,2.0,,,
1972,,widowed,8.0,2.0,,,
1972,,married,14.0,2.0,,,
1972,,married,8.0,2.0,,,
1972,,married,8.0,0.0,,,
1972,,married,8.0,4.0,,,
1972,,married,12.0,0.0,,,
1972,,never married,14.0,0.0,,,
1972,,married,12.0,4.0,,,
1972,,married,9.0,4.0,,,
1972,,married,8.0,4.0,,,
1972,,married,10.0,3.0,,,
1972,,married,14.0,5.0,,,
1972,,married,9.0,2.0,,,
1972,,married,12.0,1.0,,,
1972,,married,10.0,5.0,,,
1972,,married,12.0,5.0,,,
1972,,married,14.0,3.0,,,
1972,,married,12.0,0.0,,,
1972,,married,12.0,3.0,,,
1972,,married,11.0,4.0,,,
1972,,married,12.0,1.0,,,
1972,,married,9.0,1.0,,,
1972,,married,12.0,5.0,,,
1972,,married,11.0,6.0,,,
1972,,married,12.0,4.0,,,
1972,,married,8.0,2.0,,,
1972,,married,12.0,2.0,,,
1972,,married,12.0,0.0,,,
1972,,never married,12.0,0.0,,,
1972,,married,16.0,0.0,,,
1972,,married,7.0,1.0,,,
1972,,married,12.0,2.0,,,
1972,,married,8.0,2.0,,,
1972,,married,11.0,1.0,,,
1972,,never married,12.0,0.0,,,
1972,,never married,16.0,0.0,,,
1972,,married,10.0,1.0,,,
1972,,widowed,8.0,1.0,,,
1972,,never married,14.0,1.0,,,
1972,,never married,12.0,0.0,,,
1972,,married,7.0,5.0,,,
1972,,married,12.0,2.0,,,
1972,,divorced,15.0,0.0,,,
1972,,married,15.0,2.0,,,
1972,,never married,14.0,0.0,,,
1972,,married,17.0,0.0,,,
1972,,married,20.0,0.0,,,
1972,,never married,18.0,0.0,,,
1972,,married,17.0,0.0,,,
1972,,never married,14.0,0.0,,,
1972,,married,16.0,0.0,,,
1972,,married,12.0,2.0,,,
1972,,married,13.0,3.0,,,
1972,,married,14.0,3.0,,,
1972,,married,16.0,2.0,,,
1972,,married,14.0,3.0,,,
1972,,married,15.0,3.0,,,
1972,,married,16.0,2.0,,,
1972,,married,15.0,2.0,,,
1972,,married,12.0,2.0,,,
1972,,married,9.0,1.0,,,
1972,,married,13.0,3.0,,,
1972,,married,12.0,4.0,,,
1972,,married,15.0,1.0,,,
1972,,married,12.0,4.0,,,
1972,,married,8.0,8.0,,,
1972,,divorced,12.0,0.0,,,
1972,,never married,13.0,0.0,,,
1972,,divorced,16.0,0.0,,,
1972,,divorced,13.0,4.0,,,
1972,,divorced,3.0,7.0,,,
1972,,never married,12.0,0.0,,,
1972,,married,10.0,3.0,,,
1972,,married,14.0,1.0,,,
1972,,divorced,12.0,3.0,,,
1972,,separated,14.0,2.0,,,
1972,,married,8.0,1.0,,,
1972,,separated,11.0,6.0,,,
1972,,married,2.0,8.0,,,
1972,,separated,12.0,3.0,,,
1972,,never married,12.0,2.0,,,
1972,,married,6.0,3.0,,,
1972,,married,3.0,7.0,,,
1972,,widowed,8.0,0.0,,,
1972,,married,8.0,2.0,,,
1972,,married,12.0,1.0,,,
1972,,married,16.0,1.0,,,
1972,,married,12.0,3.0,,,
1972,,married,9.0,0.0,,,
